书名,作者,出版社,年份,评分,评价人数,一句话评语
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 , 上海译文出版社 , 2015-7 ,8.9,34958,一个谜语，谜底正是时间
绝叫,[日] 叶真中显 , 北京联合出版公司 , 2020-7 ,8.9,56194, 
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 , 南海出版公司 , 2019-10 ,8.7,149837,我来自一个极少有人能想象的家庭，教育给了我新世界
十万个为什么,少年儿童出版社 ,少年儿童出版社 , 1962 ,9.1,16704, 
失明症漫记,[葡] 若泽·萨拉马戈 , 南海出版公司 , 2014-2 ,9.1,24022,失明症迅速蔓延，整个城市陷入一场空前的灾难
毛泽东选集 第一卷,毛泽东 , 人民出版社 , 1991-5 ,9.6,20837, 
昨日的世界,[奥] 斯蒂芬·茨威格 , 广西师范大学出版社 , 2004-5-1 ,9.2,13342,一个高贵而残破的昨日镜像
克莱因壶,[日]冈岛二人 , 化学工业出版社 , 2019-9 ,8.9,44839, 
桶川跟踪狂杀人事件,[日] 清水洁 , 四川人民出版社 , 2021-2 ,9.0,29358, 
故事,[美] 罗伯特·麦基 , 天津人民出版社 , 2014-9 ,9.2,16394,材质、结构、风格和银幕剧作的原理
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 , 上海译文出版社 , 2007-7 ,8.7,134725,暗恋的极致
茶馆,老舍 , 人民文学出版社 , 2002-1 ,9.1,26237,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
绿毛水怪,王小波 , 时代文艺出版社 , 2009-1 ,9.1,21640,我们好象在池塘的水底，从一个月亮走向另一个月亮
國史大綱（上下）,錢穆 , 商务印书馆 , 2013-8 ,9.4,14772,钱穆中国通史
苏菲的世界,[挪] 乔斯坦·贾德 , 作家出版社 , 2007-10 ,8.8,52246,哲学启蒙书
经济学原理（上下）,[美] 曼昆 , 机械工业出版社 , 2003-8 ,9.1,20337,经济学家们的世界观
人间草木,汪曾祺 , 江苏文艺出版社 , 2005-01 ,9.2,26320,我就是要这样香，香得痛痛快快
海的女儿,安徒生 , 上海译文出版社 , 1978年6月 ,9.1,19760, 
面纱,(英)W.萨默塞特·毛姆 , 重庆出版社 , 2012-05-01 ,8.8,67455,揭去生活的面纱
